"","names(votosi_diaria)"
"1","user_id"
"2","status_id"
"3","created_at"
"4","screen_name"
"5","text"
"6","source"
"7","display_text_width"
"8","reply_to_status_id"
"9","reply_to_user_id"
"10","reply_to_screen_name"
"11","is_quote"
"12","is_retweet"
"13","favorite_count"
"14","retweet_count"
"15","hashtags"
"16","symbols"
"17","urls_url"
"18","urls_t.co"
"19","urls_expanded_url"
"20","media_url"
"21","media_t.co"
"22","media_expanded_url"
"23","media_type"
"24","ext_media_url"
"25","ext_media_t.co"
"26","ext_media_expanded_url"
"27","mentions_user_id"
"28","mentions_screen_name"
"29","lang"
"30","quoted_status_id"
"31","quoted_text"
"32","quoted_created_at"
"33","quoted_source"
"34","quoted_favorite_count"
"35","quoted_retweet_count"
"36","quoted_user_id"
"37","quoted_screen_name"
"38","quoted_name"
"39","quoted_followers_count"
"40","quoted_friends_count"
"41","quoted_statuses_count"
"42","quoted_location"
"43","quoted_description"
"44","quoted_verified"
"45","retweet_status_id"
"46","retweet_text"
"47","retweet_created_at"
"48","retweet_source"
"49","retweet_favorite_count"
"50","retweet_retweet_count"
"51","retweet_user_id"
"52","retweet_screen_name"
"53","retweet_name"
"54","retweet_followers_count"
"55","retweet_friends_count"
"56","retweet_statuses_count"
"57","retweet_location"
"58","retweet_description"
"59","retweet_verified"
"60","place_url"
"61","place_name"
"62","place_full_name"
"63","place_type"
"64","country"
"65","country_code"
"66","geo_coords"
"67","coords_coords"
"68","bbox_coords"
"69","status_url"
"70","name"
"71","location"
"72","description"
"73","url"
"74","protected"
"75","followers_count"
"76","friends_count"
"77","listed_count"
"78","statuses_count"
"79","favourites_count"
"80","account_created_at"
"81","verified"
"82","profile_url"
"83","profile_expanded_url"
"84","profile_banner_url"
"85","profile_background_url"
"86","profile_image_url"
"87","date"
